image_name,pull_count,star_count,last_updated
couchbase,61547491,536,2020-01-21T21:31:42.235446Z
mongo,1590565848,6575,2020-02-11T02:09:07.566908Z
mariadb,1174053460,3233,2020-02-15T04:36:02.649688Z
postgres,2070764117,7533,2020-02-14T21:22:39.764403Z
docker,974169995,1260,2020-02-14T03:10:02.551126Z
ubuntu,1838075251,10503,2020-01-16T02:17:57.366037Z
redis,1775393052,7815,2020-02-02T11:06:26.762934Z
traefik,1527496178,1269,2020-02-07T01:10:25.176315Z
node,1503694100,8450,2020-02-13T01:50:51.170647Z
mysql,1427771637,9132,2020-02-01T22:02:42.591522Z
busybox,2147483647,1797,2019-12-27T00:58:03.798208Z
centos,669915335,5824,2020-01-18T00:43:19.059247Z
alpine,2111592645,6137,2020-01-23T17:46:13.596884Z
rabbitmq,605726333,3021,2020-02-14T04:52:23.996909Z
nginx,2147483647,12655,2020-02-02T09:52:44.284589Z
hello-world,987914593,1128,2020-01-15T14:41:30.589045Z
registry,981161863,2844,2020-01-24T01:39:09.716214Z
httpd,1725175109,2863,2020-02-02T00:52:40.592251Z
golang,782972494,3052,2020-02-14T03:35:14.437713Z
openjdk,638604407,2115,2020-02-15T04:26:53.199831Z
memcached,1167624821,1479,2020-02-06T10:35:11.185265Z
python,713229597,4939,2020-02-06T03:55:01.377323Z
influxdb,418233822,918,2020-02-02T15:22:54.940698Z
debian,370529216,3376,2020-02-01T22:31:48.675238Z
ruby,360889674,1833,2020-02-02T13:04:52.830507Z
haproxy,506806942,1360,2020-02-14T02:01:04.841943Z
wordpress,479557642,3372,2020-02-02T23:17:52.837228Z
tomcat,250878193,2642,2020-02-15T03:31:17.832780Z
php,493823287,5053,2020-02-02T12:00:53.562100Z
maven,233104760,980,2020-02-11T03:27:58.666019Z
nextcloud,384493899,1321,2020-02-14T03:53:16.393051Z
crate,13790949,141,2020-02-07T18:38:38.257817Z
sonarqube,164466499,1423,2020-02-03T00:52:18.482311Z
amazonlinux,149082053,778,2020-01-16T21:30:35.208979Z
nats,70682673,267,2020-01-31T00:59:01.092115Z
java,112325496,1976,2017-03-23T17:58:27.550146Z
percona,62147127,473,2020-02-15T03:10:47.696266Z
telegraf,219349053,340,2020-02-02T16:11:31.846531Z
cassandra,94706474,1089,2020-02-01T22:40:29.132041Z
groovy,51400046,85,2020-02-12T00:22:36.571755Z
eclipse-mosquitto,183558691,468,2020-01-23T19:55:07.268556Z
teamspeak,47973080,178,2020-01-24T06:49:27.496359Z
owncloud,44713915,1128,2018-12-31T20:49:57.806600Z
nats-streaming,44421656,84,2020-02-14T02:35:52.252597Z
gradle,78852167,267,2020-01-28T03:20:14.398783Z
chronograf,73516016,190,2020-02-02T01:38:59.070278Z
bash,69085425,239,2020-02-11T01:03:26.863250Z
zookeeper,75452581,793,2020-02-02T21:59:33.051377Z
swarm,70944538,1042,2019-05-11T00:01:35.368711Z
neo4j,68137110,759,2020-02-02T21:47:04.508111Z
couchdb,60905704,325,2020-02-02T02:33:54.401008Z
solr,62598669,729,2020-02-03T00:03:01.279862Z
fedora,60796397,854,2019-10-31T19:05:34.609828Z
rethinkdb,54805182,529,2020-01-16T05:03:45.936398Z
flink,51927838,147,2020-02-13T02:01:08.811414Z
joomla,46444727,262,2020-02-02T20:49:22.376386Z
mongo-express,48475377,625,2020-02-13T01:29:37.103213Z
redmine,33622063,838,2020-02-02T23:51:09.102891Z
matomo,31276407,109,2020-02-11T01:14:42.709925Z
erlang,30227423,268,2020-02-07T05:48:10.987794Z
kapacitor,28407012,155,2020-02-02T23:21:43.040597Z
rust,16883285,294,2020-02-02T12:45:56.058414Z
iojs,16347535,133,2017-03-23T21:40:20.373990Z
haxe,15489054,29,2020-02-02T16:28:41.955086Z
oraclelinux,14905002,631,2020-02-11T01:36:55.733466Z
pypy,23968402,230,2020-02-06T01:44:19.967072Z
clojure,12808015,278,2020-02-11T04:36:34.564787Z
